#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"108,116,472","+8,861","1,496,823",+13,"101,112,538","+26,031","5,507,111","9,504",,,,,,North America,,,,,,,
,,Asia,,"164,591,582","+134,252","1,443,365",+47,"158,285,366","+58,216","4,862,851","11,151",,,,,,Asia,,,,,,,
,,South America,,"61,200,615","+1,440","1,310,886",+3,"58,093,628","+7,261","1,796,101","10,461",,,,,,South America,,,,,,,
,,Europe,,"210,829,262",,"1,865,015",,"199,745,369","+146,367","9,218,878","6,754",,,,,,Europe,,,,,,,
,,Oceania,,"10,656,295","+47,080","15,233",+51,"10,128,400","+8,675","512,662",184,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,443,974",,"256,424",,"11,588,336",,"599,214","1,004",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"567,838,921","+191,633","6,387,761",+114,"538,954,343","+246,550","22,496,817","39,058","72,848",819.5,,,,All,,,,,,,
46,Slovakia,"1,806,090",,"20,172 ",,"1,777,233",,"8,685",26,"330,481","3,691","7,200,663","1,317,589","5,465,028 ",Europe,32711,,,"1,589"
47,Jordan,"1,700,526",,"14,068 ",,"1,685,354",,"1,104",124,"163,363","1,351","16,894,012","1,622,945","10,409,478 ",Asia,67401,,,106
48,Georgia,"1,667,453",,"16,847 ",,"1,637,293",,"13,313",,"419,636","4,240","16,920,079","4,258,151","3,973,574 ",Asia,22360,,,"3,350"
49,Ireland,"1,628,745",,"7,537 ",,"1,572,304","+1,054","48,904",39,"322,514","1,492","12,480,436","2,471,300","5,050,150 ",Europe,36700,,,"9,684"
50,Singapore,"1,596,046",,"1,453 ",,"1,495,141",,"99,452",14,"268,511",244,"24,107,231","4,055,678","5,944,069 ",Asia,"44,0910",,,"16,731"
51,Pakistan,"1,546,744",+492,"30,445 ",+5,"1,505,635",,"10,664",169,"6,736",133,"29,297,676","127,586","229,630,041 ",Asia,"1487,5428",2,0.02,46
52,New Zealand,"1,508,728","+7,974","1,784 ",+21,"1,436,904","+8,675","70,040",,"301,619",357,"7,334,013","1,466,187","5,002,100 ",Australia/Oceania,"32,8041","1,594",4,"14,002"
53,Norway,"1,452,755",,"3,504 ",,"1,444,381",,"4,870",20,"263,773",636,"11,002,430","1,997,684","5,507,594 ",Europe,"41,5721",,,884
54,Kazakhstan,"1,318,044","+1,477","13,664 ",,"1,295,042",+244,"9,338",24,"68,526",710,"11,575,012","601,792","19,234,250 ",Asia,"151,4082",77,,485
55,Hong Kong,"1,294,336",,"9,437 ",,"1,208,924",,"75,975",5,"169,841","1,238","50,415,048","6,615,382","7,620,882 ",Asia,68080,,,"9,969"
56,Morocco,"1,251,297",,"16,184 ",,"1,220,252",,"14,861",293,"33,102",428,"12,113,766","320,455","37,801,818 ",Africa,"302,3363",,,393
57,Bulgaria,"1,184,846",,"37,294 ",,"1,135,430",,"12,122",32,"173,173","5,451","10,177,040","1,487,444","6,841,966 ",Europe,61831,,,"1,772"
58,Finland,"1,171,034",,"5,012 ",,"1,120,330",,"45,692",21,"210,684",902,"11,129,795","2,002,392","5,558,250 ",Europe,"51,1090",,,"8,221"
59,Croatia,"1,168,111",,"16,156 ",,"1,142,194",,"9,761",20,"288,157","3,985","4,997,769","1,232,882","4,053,727 ",Europe,32511,,,"2,408"
60,Lebanon,"1,140,794",,"10,489 ",,"1,087,587",,"42,718",186,"168,676","1,551","4,795,578","709,068","6,763,213 ",Asia,66451,,,"6,316"
61,Cuba,"1,106,798",,"8,529 ",,"1,097,915",,354,23,"97,838",754,"13,997,964","1,237,385","11,312,537 ",North America,"101,3261",,,31
62,Tunisia,"1,087,030",,"28,823 ",,N/A,N/A,N/A,29,"90,056","2,388","4,743,992","393,022","12,070,547 ",Africa,114193,,,"2,606"
63,Lithuania,"1,074,583",,"9,190 ",,"1,038,300",,"27,093",5,"406,270","3,474","10,026,924","3,790,902","2,644,997 ",Europe,22880,,,"10,243"
64,Slovenia,"1,060,248",,"6,667 ",,"1,034,542",,"19,039",16,"509,852","3,206","2,693,633","1,295,315","2,079,520 ",Europe,23121,,,"9,155"
65,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,267",754,"13,646,641","1,445,161","9,442,993 ",Europe,"91,3271",,,141
66,Guatemala,"984,477",,"18,822 ",,"891,574",,"74,081",5,"52,955","1,012","5,127,997","275,837","18,590,703 ",North America,199884,,,"3,985"
67,Nepal,"981,408",,"11,953 ",,"968,016",,"1,439",,"32,492",396,"5,785,016","191,529","30,204,405 ",Asia,"312,5275",,,48
68,UAE,"973,416",,"2,325 ",,"953,694",,"17,397",,"96,056",229,"174,124,398","17,182,468","10,133,841 ",Asia,"104,3590",,,"1,717"
69,Bolivia,"969,652","+1,440","21,982 ",+3,"905,056","+2,457","42,614",220,"80,822","1,832","2,705,422","225,501","11,997,403 ",South America,125464,120,0.3,"3,552"
70,Uruguay,"965,370",,"7,373 ",,"955,371",,"2,626",18,"275,958","2,108","6,114,822","1,747,965","3,498,251 ",South America,44741,,,751
71,Panama,"934,117",,"8,386 ",,"912,594",,"13,137",16,"209,766","1,883","6,637,861","1,490,603","4,453,139 ",North America,55311,,,"2,950"
72,Mongolia,"930,677",,"2,179 ",,N/A,N/A,N/A,192,"274,873",644,"4,030,048","1,190,265","3,385,840 ",Asia,"41,5541",,,"181,710"
73,Ecuador,"927,700",,"35,769 ",,"876,652","+1,239","15,279",759,"51,004","1,967","2,470,170","135,807","18,188,837 ",South America,205097,,,840
74,Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,399","1,643","4,659,757","898,028","5,188,879 ",North America,66091,,,"6,880"
75,Latvia,"844,980",,"5,875 ",,"830,399",,"8,706",1,"458,293","3,186","7,362,035","3,992,955","1,843,756 ",Europe,23140,,,"4,722"
76,Saudi Arabia,"803,764",,"9,232 ",,"787,966",,"6,566",150,"22,378",257,"43,682,740","1,216,166","35,918,393 ",Asia,"453,8911",,,183
