,,Africa,,12443974,,256424,,11588336,,599214,1004,,,,,,Africa,,,,
96,Oman,391641,,4260,,384669,,2712,2,72915,793,25000000,4654459,5371193,Asia,"141,2610",,,505,,
97,Bosnia and Herzegovina,380749,,15817,,N/A,N/A,N/A,,117541,4883,1800950,555974,3239273,Europe,92052,,,53319,,
98,Kenya,336740,,5668,,329673,,1399,3,5994,101,3796220,67567,56184146,Africa,"1679,91315",,,25,,
99,Zambia,327994,,4009,,322419,,1566,4,16878,206,3589883,184734,19432759,Africa,"594,8475",,,81,,
100,Botswana,324841,,2760,,321024,,1057,1,132677,1127,2026898,827861,2448355,Africa,88871,,,432,,
101,North Macedonia,318138,,9339,,306309,,2490,,152716,4483,2082678,999749,2083200,Europe,72231,,,1195,,
102,Albania,293917,,3517,,281470,,8930,,102360,1225,1866752,650120,2871398,Europe,108162,,,3110,,
103,Luxembourg,274524,,1102,,259768,,13654,,424483,1704,4349750,6725811,646725,Europe,25870,,,21113,,
104,Algeria,266445,,6875,,178785,,80785,6,5861,151,230861,5078,45464162,Africa,"1716,613197",,,1777,,
105,Nigeria,259007,,3144,,250485,,5378,11,1196,15,5349305,24703,216547535,Africa,"83668,87640",,,25,,
106,Zimbabwe,256083,,5566,,249862,,655,12,16733,364,2424666,158437,15303699,Africa,"602,7496",,,43,,
107,Montenegro,247179,,2730,,240519,,3930,6,393454,4346,2518392,4008723,628228,Europe,32300,,,6256,,
108,Uzbekistan,242305,69,1637,,239196,53,1472,23,7032,48,1377915,39989,34457369,Asia,"14221,04925",2,,43,,
109,Mozambique,229038,,2215,,226374,,449,11,6932,67,1359989,41163,33039241,Africa,"14414,91624",,,14,,
110,Laos,210528,,757,,N/A,N/A,N/A,,28105,101,1233207,164633,7490638,Asia,"369,8956",,,26982,,
111,Martinique,207969,,987,,104,,206878,8,555070,2634,828928,2212410,374672,North America,23800,,,552158,,
112,Kyrgyzstan,201329,,2991,,196406,,1932,131,29855,444,1907195,282821,6743477,Asia,"332,2554",,,286,,
113,Iceland,199611,,179,,N/A,N/A,N/A,1,577321,518,1979580,5725400,345754,Europe,"21,9320",,,357905,,
114,Afghanistan,183572,,7731,,165639,,10202,1124,4509,190,1014548,24919,40714314,Asia,"2225,26640",,,251,,
