#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
57,Bulgaria,"1,187,138",,"37,301 ",,"1,136,975",,"12,862",32,"173,512","5,452","10,186,273","1,488,824","6,841,824 ",Europe,61831,,,"1,880"
58,Finland,"1,171,034",,"5,012 ",,"1,128,585","+8,255","37,437",21,"210,683",902,"11,129,795","2,002,383","5,558,274 ",Europe,"51,1090",,,"6,735"
59,Croatia,"1,168,191",,"16,158 ",,"1,143,556",,"8,477",20,"288,182","3,986","4,998,397","1,233,058","4,053,658 ",Europe,32511,,,"2,091"
60,Lebanon,"1,142,644",,"10,491 ",,"1,087,587",,"44,566",186,"168,952","1,551","4,795,578","709,077","6,763,129 ",Asia,66451,,,"6,590"
61,Cuba,"1,106,879",,"8,529 ",,"1,097,965",,385,23,"97,846",754,"13,997,964","1,237,387","11,312,518 ",North America,"101,3261",,,34
62,Tunisia,"1,087,030",,"28,823 ",,N/A,N/A,N/A,29,"90,054","2,388","4,743,992","393,011","12,070,885 ",Africa,114193,,,"2,606"
63,Lithuania,"1,074,646",,"9,190 ",,"1,038,300",,"27,156",6,"406,310","3,475","10,029,476","3,792,014","2,644,894 ",Europe,22880,,,"10,267"
64,Slovenia,"1,060,741",,"6,667 ",,"1,034,542",,"19,532",16,"510,089","3,206","2,694,049","1,295,514","2,079,521 ",Europe,23121,,,"9,393"
65,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,267",754,"13,646,641","1,445,162","9,442,985 ",Europe,"91,3271",,,141
66,Guatemala,"985,245",,"18,839 ",,"893,334",,"73,072",5,"52,994","1,013","5,152,424","277,137","18,591,610 ",North America,199874,,,"3,930"
67,Nepal,"981,794",,"11,954 ",,"968,064",,"1,776",,"32,503",396,"5,787,357","191,597","30,205,838 ",Asia,"312,5275",,,59
68,UAE,"974,802",,"2,325 ",,"955,076",,"17,401",,"96,190",229,"174,326,021","17,201,809","10,134,168 ",Asia,"104,3590",,,"1,717"
69,Bolivia,"969,652",,"21,982 ",,"905,056",,"42,614",220,"80,819","1,832","2,705,422","225,492","11,997,838 ",South America,125464,,,"3,552"
70,Uruguay,"965,370",,"7,373 ",,"955,371",,"2,626",18,"275,955","2,108","6,114,822","1,747,949","3,498,283 ",South America,44741,,,751
71,Panama,"942,083",,"8,395 ",,"922,313",,"11,375",16,"211,546","1,885","6,695,106","1,503,395","4,453,324 ",North America,55301,,,"2,554"
72,Ecuador,"935,211",,"35,774 ",,"877,680",,"21,757",759,"51,415","1,967","2,470,170","135,801","18,189,569 ",South America,195087,,,"1,196"
73,Mongolia,"930,677",,"2,179 ",,N/A,N/A,N/A,192,"274,862",644,"4,030,048","1,190,215","3,385,984 ",Asia,"41,5541",,,"181,703"
74,Costa Rica,"904,934",,"8,525 ",,"860,711",,"35,698",52,"174,394","1,643","4,659,757","898,006","5,189,006 ",North America,66091,,,"6,880"
75,Latvia,"846,530",,"5,875 ",,"831,322",,"9,333",1,"459,148","3,187","7,368,092","3,996,364","1,843,699 ",Europe,23140,,,"5,062"
76,Saudi Arabia,"804,570",,"9,233 ",,"788,371",,"6,966",145,"22,399",257,"43,704,864","1,216,732","35,919,876 ",Asia,"453,8901",,,194
77,Azerbaijan,"794,656",,"9,723 ",,"784,032",,901,,"76,960",942,"7,004,415","678,354","10,325,597 ",Asia,"131,0621",,,87
78,Paraguay,"688,820",,"19,083 ",,"647,415",,"22,322",6,"94,214","2,610","2,646,163","361,930","7,311,262 ",South America,113833,,,"3,053"
79,Sri Lanka,"664,510",,"16,528 ",,"647,457",,525,,"30,770",765,"6,486,117","300,334","21,596,370 ",Asia,"321,3073",,,24
80,Bahrain,"650,625",,"1,506 ",,"637,954",,"11,165",14,"357,050",826,"10,121,898","5,554,698","1,822,223 ",Asia,"31,2100",,,"6,127"
81,Kuwait,"648,216",,"2,556 ",,"641,752",,"3,908",6,"147,342",581,"8,242,720","1,873,598","4,399,408 ",Asia,"71,7211",,,888
82,Dominican Republic,"622,432",,"4,383 ",,"613,029",,"5,020",27,"56,228",396,"3,558,356","321,447","11,069,815 ",North America,"182,5263",,,453
